,OtherExecScore,Analyst_Word_Count,Analyst_Sent_Count,CEO_Neg_Fin,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,marketcap,pricetobook,dividendyield,revenuegrowth,freecashflow,ebitda,CEOScore_sqrt,CEO_Word_Count_sqrt,CEO_Sent_Count_sqrt,OtherExec_Sent_Count_sqrt,CEO_Pos_Fin_sqrt,AnalystScore_pwr,OtherExec_Word_Count_pwr
872,1.142,1815.0,78.0,3.0,2.333333333,1.8045014940000002,1.6456054199999999,1.551439512,1.75295394,1.5058167679999999,2.0222350000000002,158295347255.0,35086506001.0,206.1792,33982903632.0,33507000001.0,0.37416573867739417,53.14132102234569,10.862780491200215,14.711309200802088,3.0,1.029554929430242,149.1933985888286
873,1.1440000000000001,2845.0,161.0,11.0,1.181818182,1.805551175,1.683629448,1.544774241,1.729136643,1.513275384,1.964063,158556105190.0,34726506001.0,206.1636,34082903632.0,33808000001.0,0.396232255123179,63.33245613427605,12.24744871391589,14.379088160259652,2.0,1.0541955039051845,150.32606952692552
874,1.15,1801.0,103.0,2.0,2.75,1.805377607,1.659539049,1.528015672,1.720646265,1.511172958,1.972903,156876265990.8,34304506001.0,206.1624,34174903632.0,34245000001.0,0.39370039370059057,49.85980344927164,10.583005244258363,14.114877048604,3.6457513110645907,1.0411126463428546,142.00613794568397
875,1.138,2816.0,133.0,1.0,3.0,1.808755964,1.658397997,1.540352882,1.716181897,1.497955493,2.0290939999999997,157947699883.0,34712506001.0,206.1689,34087903632.0,33893000001.0,0.3563705936241092,34.92849839314596,7.745966692414834,19.16590212458495,2.0,1.0379664381016296,187.8882834433517
876,1.155,3614.0,118.0,2.0,2.777777778,1.812905312,1.672551443,1.555250972,1.710499478,1.516085653,2.074509,157925967195.0,35655506001.0,206.1798,34104903632.0,33409000001.0,0.38340579025361626,61.85466837676846,11.180339887498949,9.426149773176359,3.8284271247461903,1.0353522989137323,96.9791248873046
877,1.162,433.0,24.0,9.0,2.0,1.812611874,1.675243863,1.583855265,1.733140126,1.541283781,2.085234,157489246440.0,35563506001.0,206.1863,34045903632.0,32412000001.0,0.4266145801540308,70.12132343303284,13.19090595827292,18.08800749063506,3.8284271247461903,1.0231006950195618,223.3055066517991
878,1.126,1833.0,85.0,3.0,2.428571429,1.7755254429999998,1.672205937,1.525717793,1.714303955,1.514006255,2.0373010000000003,157085903990.0,4381579001.0,209.7335,30349986632.0,30349274001.0,0.4074309757492673,42.883563284783136,9.797958971132712,11.099504938362077,3.23606797749979,1.0157464525727298,96.89323324700257
879,1.126,2011.0,97.0,1.0,3.0,1.80651201,1.684452657,1.5248073149999999,1.730844868,1.5123985279999999,2.061181,157135187979.0,4403996001.0,209.8345,30354393632.0,30115863001.0,0.3847076812334269,40.26164427839479,9.539392014169456,10.38083151964686,2.414213562373095,1.017315670239247,87.16693160930716
880,1.12,2243.0,97.0,2.0,2.6,1.800319373,1.668291586,1.53503642,1.696467479,1.522441789,2.064828,157150950549.0,4372934001.0,209.9145,30359235632.0,30044410001.0,0.3255764119219941,48.02082881417188,10.583005244258363,9.0,3.0,1.0220302776654193,82.14794542121189
881,1.1400000000000001,1.0,1.0,7.0,1.9090909090000001,1.808720712,1.6536058489999998,1.570214685,1.691077429,1.521489516,2.014936,157116926720.0,7071506001.0,207.4887,30482903632.0,33917000001.0,0.34641016151377546,73.08214556237385,14.317821063276353,18.776388834631177,3.23606797749979,1.0,204.7329497636025
